""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"symbol"
"KRT31"	-0.228551179128043	4.57565091446642	-0.324512535521523	0.749838013297309	0.861154517492295	-6.28162656044832	"KRT31"
"FOSL2"	-0.0855460782432113	14.1720831385369	-0.324509505527086	0.749840263491248	0.861154517492295	-6.28162756725451	"FOSL2"
"MAB21L2"	0.0942894232721001	5.49197731011925	0.324309081999486	0.749989111136102	0.861242281977929	-6.28169414337084	"MAB21L2"
"HIST1H2AA"	0.0793109731895175	4.59838680348588	0.324289634434818	0.750003554716205	0.861242281977929	-6.28170060124836	"HIST1H2AA"
"MPV17L"	0.119077106966133	3.75101774326538	0.324164850252132	0.750096233409083	0.861273615114445	-6.28174202876098	"MPV17L"
"TXNRD3"	0.0860901053664174	5.59214915355688	0.32411364311101	0.750134266706761	0.861273615114445	-6.28175902463813	"TXNRD3"
"ANKS6"	-0.0633223056456092	5.80025253132752	-0.324042418393497	0.750187168853163	0.861273615114445	-6.28178266003433	"ANKS6"
"TMEM233"	-0.0917991319340916	4.15954615159022	-0.324010774161344	0.750210673014989	0.861273615114445	-6.2817931592952	"TMEM233"
"CCDC146"	0.111214031887418	7.79302359110296	0.323923502136392	0.750275496757379	0.861273615114445	-6.28182211009795	"CCDC146"
"GJA1"	-0.115997394750722	4.0930398403793	-0.323870220121247	0.750315074419449	0.861273615114445	-6.28183978159206	"GJA1"
"PRDM7"	-0.0834462760348329	8.23673119223106	-0.323843527947988	0.750334901527482	0.861273615114445	-6.28184863323076	"PRDM7"
"MAP3K4"	-0.0768089059920506	10.5057424508365	-0.32368605426324	0.750451877620209	0.86135802196547	-6.28190083989236	"MAP3K4"
"ATAD3C"	0.0736210299774022	6.66012586488077	0.323596409319865	0.750518471339908	0.861384594219015	-6.28193054835826	"ATAD3C"
"NECAB3"	0.0755181783423869	8.10586158911263	0.323181657658549	0.750826600678411	0.861656225095613	-6.28206789202336	"NECAB3"
"AIF1L"	-0.191495773232685	4.04108737025649	-0.323160857843145	0.75084205452905	0.861656225095613	-6.2820747752396	"AIF1L"
"RAX"	0.0813622563557201	4.55591247746248	0.322790029351889	0.751117591166896	0.861922541678177	-6.28219741898053	"RAX"
"RPL26L1"	0.0701380013682653	10.2089390498016	0.32243573744595	0.751380873187157	0.862174765830726	-6.28231446384607	"RPL26L1"
